INFO:root:Start simulation
INFO:root:> Time step 0, take action 16, instance reward 0.0, cumulative reward 0.0, used 5.2354910131543875 seconds
INFO:root:> Time step 20, take action 5, instance reward 0.0, cumulative reward 20.0, used 2.749943610280752 seconds
INFO:root:> Time step 21, take action 0, instance reward 10.0, cumulative reward 30.0, used 2.925826594699174 seconds
INFO:root:> Time step 22, take action 5, instance reward 0.0, cumulative reward 30.0, used 2.865336913149804 seconds
INFO:root:> Time step 23, take action 16, instance reward 10.0, cumulative reward 40.0, used 2.8725163587369025 seconds
INFO:root:> Time step 24, take action 15, instance reward 0.0, cumulative reward 40.0, used 2.8475975352339447 seconds
INFO:root:> Time step 25, take action 2, instance reward 0.0, cumulative reward 40.0, used 2.787575886119157 seconds
INFO:root:> Time step 26, take action 4, instance reward 10.0, cumulative reward 50.0, used 2.821223503910005 seconds
INFO:root:> Time step 27, take action 6, instance reward 0.0, cumulative reward 50.0, used 2.799994830042124 seconds
INFO:root:> Time step 28, take action 4, instance reward 0.0, cumulative reward 50.0, used 2.86449001962319 seconds
INFO:root:> Time step 29, take action 14, instance reward 0.0, cumulative reward 50.0, used 2.804474567063153 seconds
INFO:root:> Time step 30, take action 7, instance reward 20.0, cumulative reward 70.0, used 2.7994025121442974 seconds
INFO:root:> Time step 31, take action 16, instance reward 0.0, cumulative reward 70.0, used 2.858983409125358 seconds
INFO:root:> Time step 32, take action 7, instance reward 0.0, cumulative reward 70.0, used 2.7446062369272113 seconds
INFO:root:> Time step 33, take action 10, instance reward 0.0, cumulative reward 70.0, used 2.7979954690672457 seconds
INFO:root:> Time step 34, take action 17, instance reward 0.0, cumulative reward 70.0, used 2.8218327169306576 seconds
INFO:root:> Time step 35, take action 5, instance reward 0.0, cumulative reward 70.0, used 2.8282169946469367 seconds
INFO:root:> Time step 36, take action 4, instance reward 0.0, cumulative reward 70.0, used 2.8907970786094666 seconds
INFO:root:> Time step 37, take action 15, instance reward 0.0, cumulative reward 70.0, used 2.8610052708536386 seconds
INFO:root:> Time step 38, take action 12, instance reward 10.0, cumulative reward 80.0, used 2.898401128128171 seconds
INFO:root:> Time step 39, take action 2, instance reward 0.0, cumulative reward 80.0, used 2.959703791886568 seconds
INFO:root:> Time step 40, take action 4, instance reward 0.0, cumulative reward 80.0, used 2.852671794127673 seconds
INFO:root:> Time step 41, take action 0, instance reward 0.0, cumulative reward 80.0, used 2.928648138884455 seconds
INFO:root:> Time step 42, take action 10, instance reward 10.0, cumulative reward 90.0, used 2.816299123223871 seconds
INFO:root:> Time step 43, take action 12, instance reward 0.0, cumulative reward 90.0, used 2.8714715489186347 seconds
INFO:root:> Time step 44, take action 4, instance reward 0.0, cumulative reward 90.0, used 2.810146566014737 seconds
INFO:root:> Time step 45, take action 3, instance reward 10.0, cumulative reward 100.0, used 2.846272999420762 seconds
INFO:root:> Time step 46, take action 3, instance reward 0.0, cumulative reward 100.0, used 2.8034294773824513 seconds
INFO:root:> Time step 47, take action 6, instance reward 0.0, cumulative reward 100.0, used 2.8243839740753174 seconds
INFO:root:> Time step 48, take action 10, instance reward 0.0, cumulative reward 100.0, used 2.88152197515592 seconds
INFO:root:> Time step 49, take action 8, instance reward 0.0, cumulative reward 100.0, used 2.7334857750684023 seconds
INFO:root:> Time step 50, take action 11, instance reward 10.0, cumulative reward 110.0, used 2.8411537939682603 seconds
INFO:root:> Time step 51, take action 3, instance reward 0.0, cumulative reward 110.0, used 2.8087044432759285 seconds
INFO:root:> Time step 52, take action 8, instance reward 10.0, cumulative reward 120.0, used 2.884849463123828 seconds
INFO:root:> Time step 53, take action 14, instance reward 0.0, cumulative reward 120.0, used 2.8820466678589582 seconds
INFO:root:> Time step 54, take action 16, instance reward 0.0, cumulative reward 120.0, used 2.815810431726277 seconds
INFO:root:> Time step 55, take action 1, instance reward 0.0, cumulative reward 120.0, used 2.7953832168132067 seconds
INFO:root:> Time step 56, take action 0, instance reward 10.0, cumulative reward 130.0, used 3.028939043171704 seconds
